Instance,Optimal,Algorithm,Avg_Quality,Avg_Size,Avg_Time,RelErr,Num_Runs
large1.in,50,LS1,50,50,123.48,0.0,10
large10.in,221,LS1,317.3,317.3,573.56,0.4357,10
large11.in,40,LS1,56,56,103.44,0.4,10
large12.in,15,LS1,18,18,2.29,0.2,10
large2.in,19,LS1,20,20,1.34,0.0526,10
large3.in,15,LS1,17,17,3.62,0.1333,10
large4.in,91,LS1,152,152,293.07,0.6703,10
large5.in,6,LS1,7.7,7.7,2.51,0.2833,10
large6.in,6,LS1,7,7,2.16,0.1667,10
large7.in,95,LS1,172,172,490.69,0.8105,10
large8.in,5,LS1,5.7,5.7,1.07,0.14,10
large9.in,14,LS1,16,16,3.61,0.1429,10
small1.in,5,LS1,5,5,0.16,0.0,10
small10.in,2,LS1,2,2,0.11,0.0,10
small11.in,4,LS1,4,4,0.15,0.0,10
small12.in,3,LS1,3,3,0.14,0.0,10
small13.in,2,LS1,2,2,0.1,0.0,10
small14.in,2,LS1,2,2,0.1,0.0,10
small15.in,2,LS1,2,2,0.11,0.0,10
small16.in,2,LS1,2,2,0.12,0.0,10
small17.in,2,LS1,2,2,0.12,0.0,10
small18.in,2,LS1,2,2,0.12,0.0,10
small2.in,3,LS1,3,3,0.11,0.0,10
small3.in,5,LS1,5,5,0.14,0.0,10
small4.in,4,LS1,4,4,0.13,0.0,10
small5.in,5,LS1,5,5,0.17,0.0,10
small6.in,3,LS1,3,3,0.17,0.0,10
small7.in,3,LS1,3,3,0.11,0.0,10
small8.in,2,LS1,2,2,0.1,0.0,10
small9.in,3,LS1,3,3,0.13,0.0,10
test1.in,2,LS1,2,2,0.09,0.0,10
test2.in,2,LS1,2,2,0.1,0.0,10
test3.in,6,LS1,6,6,0.11,0.0,10
test4.in,4,LS1,4,4,0.09,0.0,10
test5.in,4,LS1,4,4,0.11,0.0,10
